origin_text,random_text,label
但是我不能去参加，因为我有一点事情啊！,但是我不能去参加，因为我有一点事情阿！,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
听起来是一份很好的公司。有意思又很多钱。,听起来是一份很好的公司。又意思又很多钱。,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
因为我下个礼拜有很重要的考试，所以得要好好地复习。,因为我下个礼拜有很重要的考试，所以得要好好地复习。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
敬祝身体健康。,敬祝身体建慷。,0 0 0 0 1 1 0
我很高兴听说你已经找到了工作。我真恭喜妳啊。,我很高兴听说你已经找到了工作。我真恭喜妳阿。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
听说你准备开一个祝会，那天我不能跟你参加。我很抱歉啊。,听说你准备开一个祝会，那天我不能跟你参加。我很抱见阿。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
我知道，你很久以前找工作很辛苦。,我知道，你很久以前找工作很幸苦。,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
我很想参加你的舞会因为你的舞会总是很好玩。,我很想参家你的舞会因为你的舞会总是很好玩。,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我下个星期非常忙所以我不能参加你的舞会。,我下个星期非常忙所以我不能参家你的舞会。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
我下个星期天我妈妈会来台湾。,我下个星期天我妈妈回来台湾。,0 0 0 0 0 0 0 0 0 1 0 0 0 0
因为我不能参加你的舞会所以我要请你跟我去吃晚饭再看电影。,因为我不能参家你的舞会所以我要请你跟我去吃晚饭再看电影。,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
你的家人的身体好？,你的家人的生体好？,0 0 0 0 0 1 0 0 0
你小的时候总是看了这个杂志，所以我很高兴你可能找到这个工作！,你小的时候总视看了这个杂志，所以我很高兴你可能找到这个工作！,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我希望可能参加你的晚会，可是他的身体真的不太好！,我希望可能参加你的晚会，可是他的生体真的不太好！,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
对不起，我不能参加你开的庆祝会，因为我有事情。但是我一定送给你一把很大的花。,对不起，我不能参加你开的庆祝会，因为我有事情。但是我一定送给你一把很大的化。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
祝你：万事如意，身体健康。,出你：万事如意，身体健康。,1 0 0 0 0 0 0 0 0 0 0 0 0
我觉得你高兴得不得了。,我觉得你高心得不得了。,0 0 0 0 0 1 0 0 0 0 0
你找到你最喜欢的工作，我也很高兴。,你找到你最喜欢的工作，我也很高心。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
我要先说你恭喜的话，因为我知道现在很难找到工作，所以很棒。,我要先说你恭喜的话，应为我者到现在很难找到工作，所以很棒。,0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
我真的希望我可以去看你。,我真的洗碗我可以去看你。,0 0 0 1 1 0 0 0 0 0 0 0
我妈妈病了，我爸爸过世了，妹妹跟她的男朋友分手了。,我妈妈病了，我爸爸过世了，妹妹跟她的男朋友防守了。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
张爱文和林美美不能一起去那里。,张爱文和林美美不能一起去那理。,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
我下了课以后，就跟她坐公共汽车一起回家。,我下了课以后，就根她坐公共汽车一起回家。,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
周末的时候，我常常跟他一起去看电影。,周末的时候，我常常跟他一起去看电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
昨天他写很多功课，所以今天他很累。,昨天他写很多公克，所以今天他很累。,0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
看电影以前，张爱文想跟林美美去吃饭。,看电影以前，张爱文想根林美美去吃饭。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
今天我跟美美一起去看以前她要看的电影。,今天我跟美美一起去看一前她要看的电影。,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
在学校林美美的旁边的位子是张爱文。,在学校林美美的傍边的位子是张爱文。,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
上课的时候，张爱文问林美美下课以后要不要跟他一起去看电影。,上课的时候，张爱文问林美美下个以后要不要跟他一起去看电影。,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
他是很用功的人，所以很聪明。,他是很用功的人，所以很总明。,0 0 0 0 0 0 0 0 0 0 0 1 0 0
